ZON_NM,DATE,px_mean,px_max
Gangwon-do,20180301,26.6956521739,47
Gangwon-do,20180302,49.0,63
Gangwon-do,20180303,44.0,60
Gangwon-do,20180304,18.7391304348,43
Gangwon-do,20180305,9.86363636364,33
Gangwon-do,20180306,22.7916666667,32
Gangwon-do,20180307,24.375,49
Gangwon-do,20180308,11.375,24
Gangwon-do,20180309,23.4583333333,46
Gangwon-do,20180310,46.125,71
Gangwon-do,20180311,42.0833333333,88
Gangwon-do,20180312,74.2916666667,142
Gangwon-do,20180313,60.375,125
Gangwon-do,20180314,34.0416666667,83
Gangwon-do,20180315,14.9130434783,33
Gangwon-do,20180316,10.875,25
Gangwon-do,20180317,22.6666666667,49
Gangwon-do,20180318,34.75,65
Gangwon-do,20180319,17.4583333333,37
Gangwon-do,20180320,13.625,18
Gangwon-do,20180321,12.2083333333,20
Gangwon-do,20180322,25.8333333333,50
Gangwon-do,20180323,52.25,64
Gangwon-do,20180324,68.5454545455,102
Gangwon-do,20180325,68.5652173913,119
Gangwon-do,20180326,71.4166666667,97
Gangwon-do,20180327,74.0416666667,117
Gangwon-do,20180328,50.85,124
Gangwon-do,20180329,48.9166666667,105
Gangwon-do,20180330,46.3333333333,72
Gangwon-do,20180331,54.2916666667,71
Gangwon-do,20180401,58.7083333333,81
Gangwon-do,20180402,83.1666666667,102
Gangwon-do,20180403,75.8333333333,98
Gangwon-do,20180404,15.4545454545,81
Gangwon-do,20180405,6.95833333333,12
Gangwon-do,20180406,78.1,240
Gangwon-do,20180407,53.25,162
Gangwon-do,20180408,23.3333333333,39
Gangwon-do,20180409,24.0416666667,46
Gangwon-do,20180410,31.75,50
Gangwon-do,20180411,55.0833333333,101
Gangwon-do,20180412,29.0833333333,68
Gangwon-do,20180413,29.5,41
Gangwon-do,20180414,14.375,36
Gangwon-do,20180415,87.7916666667,201
Gangwon-do,20180416,38.7083333333,66
Gangwon-do,20180417,40.25,71
Gangwon-do,20180418,58.0416666667,87
Gangwon-do,20180419,66.5454545455,98
Gangwon-do,20180420,92.4583333333,123
Gangwon-do,20180421,58.7916666667,117
Gangwon-do,20180422,31.4166666667,55
Gangwon-do,20180423,6.82608695652,15
Gangwon-do,20180424,9.0,38
Gangwon-do,20180425,29.0,53
Gangwon-do,20180426,35.0833333333,43
Gangwon-do,20180427,41.0,57
Gangwon-do,20180428,43.9166666667,64
Gangwon-do,20180429,42.1666666667,63
Gangwon-do,20180430,55.9166666667,86
Gangwon-do,20180501,55.6666666667,80
Gangwon-do,20180502,25.8695652174,51
Gangwon-do,20180503,13.5454545455,25
Gangwon-do,20180504,33.0434782609,51
Gangwon-do,20180505,35.875,54
Gangwon-do,20180506,15.9166666667,40
Gangwon-do,20180507,21.9583333333,44
Gangwon-do,20180508,7.77272727273,20
Gangwon-do,20180509,13.2083333333,26
Gangwon-do,20180510,28.0416666667,45
Gangwon-do,20180511,37.9166666667,53
Gangwon-do,20180512,22.9166666667,49
Gangwon-do,20180513,17.0833333333,41
Gangwon-do,20180514,47.625,78
Gangwon-do,20180515,57.2916666667,82
Gangwon-do,20180516,52.75,57
Gangwon-do,20180519,6.59090909091,19
Gangwon-do,20180520,7.66666666667,19
Gangwon-do,20180521,13.75,32
Gangwon-do,20180522,19.875,29
Gangwon-do,20180523,30.9583333333,59
Gangwon-do,20180524,75.7916666667,116
Gangwon-do,20180525,67.4583333333,82
Gangwon-do,20180526,49.2916666667,59
Gangwon-do,20180527,52.8333333333,62
Gangwon-do,20180528,39.8333333333,49
Gangwon-do,20180529,37.0,51
Gangwon-do,20180530,30.0,37
Gangwon-do,20180531,22.2083333333,32
Gangwon-do,20180601,26.0416666667,37
Gangwon-do,20180602,29.4583333333,38
Gangwon-do,20180603,25.4583333333,40
Gangwon-do,20180604,34.125,51
Gangwon-do,20180605,32.9166666667,48
Gangwon-do,20180606,43.4583333333,69
Gangwon-do,20180607,43.125,53
Gangwon-do,20180608,34.3333333333,51
Gangwon-do,20180609,20.9583333333,44
Gangwon-do,20180610,4.54166666667,13
Gangwon-do,20180611,6.16666666667,13
Gangwon-do,20180612,7.75,22
Gangwon-do,20180613,13.5,26
Gangwon-do,20180614,10.0869565217,18
Gangwon-do,20180615,8.86956521739,32
Gangwon-do,20180616,14.5416666667,30
Gangwon-do,20180617,22.375,29
Gangwon-do,20180618,29.2916666667,49
Gangwon-do,20180619,35.4166666667,56
Gangwon-do,20180620,28.625,42
Gangwon-do,20180621,25.125,41
Gangwon-do,20180622,23.1666666667,40
Gangwon-do,20180623,33.3333333333,53
Gangwon-do,20180624,41.25,53
Gangwon-do,20180625,41.2083333333,65
Gangwon-do,20180626,27.875,56
Gangwon-do,20180627,19.75,46
Gangwon-do,20180628,26.0,52
Gangwon-do,20180629,19.652173913,43
Gangwon-do,20180630,26.9583333333,43
