,CLAC3_NM,CLAC2_NM,CLAC1_NM,NUM_PD_C,NUM_CLNT_ID,NUM_CLSE_ID,NUM_BRA_NM,TOT_HITS,TOT_PROFIT,TOT_SALES,AVG_HITS,AVG_PROFIT,F,M,AGE10,AGE20,AGE30,AGE40,AGE50,AGE60,AGE70,AGE80,TOT_SESS_SEQ,TOT_PAGE_VIEW,TOT_SESS_HOUR,AVG_SESS_SEQ,AVG_PAGE_VIEW,AVG_SESS_HOUR,mobile,desktop,tablet,April,May,June,July,August,September,ZON_Daejeon,ZON_Busan,ZON_Gyeonggi-do,ZON_Seoul,ZON_Gyeongsangbuk-do,ZON_Jeollabuk-do,ZON_Chungcheongbuk-do,ZON_Gangwon-do,ZON_Chungcheongnam-do,ZON_Incheon,ZON_Daegu,ZON_Gwangju,ZON_Gyeongsangnam-do,ZON_Jeju-do,ZON_Jeollanam-do,ZON_Ulsan,CITY_Daejeon,CITY_Busan,CITY_Anyang,CITY_Seoul,CITY_Gumi-si,CITY_Buan-gun,CITY_Cheongju-si,CITY_Chuncheon-si,CITY_Cheonan-si,CITY_Incheon,CITY_Daegu,CITY_Wonju-si,CITY_Seongnam-si,CITY_Goyang-si,CITY_Gwangmyeong-si,CITY_Uijeongbu-si,CITY_Namyangju-si,CITY_Jeonju-si,CITY_Cheorwon-gun,CITY_Hwaseong-si,CITY_Gwangju,CITY_Gimhae-si,CITY_Tongyeong-si,CITY_Seogwipo-si,CITY_Ansan-si,CITY_Naju-si,CITY_Ulsan,CITY_Anseong,CITY_Gimcheon-si,CITY_Yongin-si,CITY_Namwon-si,CITY_Bucheon-si,CITY_Gunsan-si,CITY_Yeosu-si,CITY_Sacheon-si,CITY_Osan-si,CITY_Dangjin-si,CITY_Gunpo-si,CITY_Hanam-si,CITY_Gongju-si,CITY_Seocheon-gun,CITY_Yeongi-gun,CITY_Siheung-si,CITY_Paju-si,CITY_Yangsan-si,CITY_Gyeongju-si,CITY_Goseong-gun,CITY_Iksan,CITY_Yeongcheon-si,CITY_Suncheon-si,CITY_Pohang-si,CITY_Pyeongchang-gun,CITY_Suwon-si,CITY_Jincheon-gun,CITY_Nonsan-si,CITY_Mokpo-si,CITY_Muan-gun,CITY_Haman-gun,CITY_Geoje-si,CITY_Chilgok-gun,CITY_Hampyeong-gun,CITY_Gangneung-si,CITY_Ulleung-gun,CITY_Icheon-si,CITY_Chungju-si,CITY_Pyeongtaek-si,CITY_Taean-gun,CITY_Gwangju-si,CITY_Dongducheon-si,CITY_Gwangyang-si,CITY_Gimpo-si,CITY_Jeongeup-si,CITY_Hadong-gun,CITY_Uiwang-si,CITY_Jeju-si,CITY_Gyeongsan-si,CITY_Yeongju-si,CITY_Pocheon-si,CITY_Yangpyeong-gun,CITY_Donghae-si,CITY_Gwacheon-si,CITY_Uiseong-gun,CITY_Jinju-si,CITY_Yecheon-gun,CITY_Asan-si,CITY_Hwacheon-gun,CITY_Sangju-si,CITY_Seosan-si,CITY_Okcheon-gun,CITY_Gimje-si,CITY_Cheongwon-gun,CITY_Gangjin-gun,CITY_Eumseong-gun,CITY_Uljin-gun,CITY_Guri-si,CITY_Inje-gun,CITY_Boeun-gun,CITY_Andong,CITY_Boseong-gun,CITY_Yeongwol-gun,CITY_Buyeo-gun,CITY_Hongseong-gun,CITY_Hapcheon-gun,CITY_Jecheon-si,CITY_Damyang-gun,CITY_Goryeong-gun,CITY_Changnyeong-gun,CITY_Yeongyang-gun,CITY_Yeonggwang-gun,CITY_Uiryeong-gun,CITY_Samcheok-si,CITY_Namhae-gun,CITY_Jangheung-gun,CITY_Yeoncheon-gun,CITY_Mungyeong-si,CITY_Yangju-si,CITY_Jangseong-gun,CITY_Gochang-gun,CITY_Miryang-si,CITY_Boryeong-si,CITY_Yanggu-gun,CITY_Wando-gun,CITY_Jeongseon-gun,CITY_Imsil-gun,CITY_Danyang-gun,CITY_Haenam-gun,CITY_Geochang-gun,CITY_Bonghwa-gun,CITY_Sokcho-si,CITY_Muju-gun,CITY_Yeongam-gun,CITY_Yeoju-gun,CITY_Taebaek-si,CITY_Gokseong-gun,CITY_Yeongdong-gun,CITY_Jeungpyeong-gun,CITY_Hwasun-gun,CITY_Sinan-gun,CITY_Jangsu-gun,CITY_Hamyang-gun,CITY_Hongcheon-gun,CITY_Yesan-gun,CITY_Geumsan-gun,CITY_Wanju-gun,CITY_Jinan-gun,CITY_Gyeryong-si,CITY_Gapyeong-gun,CITY_Sunchang-gun,CITY_Cheongsong-gun,CITY_Seongju-gun,CITY_Goheung-gun,CITY_Yeongdeok-gun,CITY_Yangyang-gun,CITY_Sancheong-gun,CITY_Hoengseong-gun,CITY_Cheongdo-gun,CITY_Goesan-gun,CITY_Jindo-gun,CITY_Gurye-gun,CITY_Cheongyang-gun,CITY_(not set),CITY_Gunwi-gun,CITY_Masan
0,2단우산,우산/양산류,패션잡화,23,122,129,14,15827,2531000,206,76.83,12286.41,143.0,19.0,,2.0,36.0,111.0,13.0,,,,40709,20691.0,389634.0,197.62,100.44,1891.43,164.0,40.0,2.0,66.0,44.0,46.0,30.0,16.0,4.0,4.0,16.0,56.0,72.0,9.0,2.0,5.0,2.0,1.0,9.0,7.0,4.0,12.0,,1.0,6.0,4.0,16.0,5.0,72.0,1.0,,2.0,,,9.0,7.0,1.0,2.0,4.0,1.0,,3.0,,,3.0,4.0,7.0,2.0,,5.0,,6.0,,1.0,2.0,,,,1.0,,,,,,,,,14.0,3.0,1.0,,,2.0,1.0,,,,5.0,,,,,,,6.0,,1.0,,1.0,,3.0,,,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1,3단우산,우산/양산류,패션잡화,247,1094,1156,31,117125,22862780,1637,71.55,13966.27,1068.0,130.0,1.0,57.0,380.0,657.0,94.0,8.0,1.0,,320714,143642.0,2797957.0,195.92,87.75,1709.2,1224.0,405.0,8.0,442.0,364.0,267.0,247.0,196.0,121.0,41.0,184.0,293.0,654.0,40.0,36.0,35.0,31.0,33.0,38.0,74.0,30.0,74.0,6.0,25.0,43.0,41.0,184.0,24.0,654.0,15.0,,19.0,6.0,9.0,38.0,74.0,10.0,29.0,34.0,6.0,5.0,14.0,20.0,5.0,26.0,30.0,28.0,,,11.0,,43.0,2.0,3.0,37.0,2.0,11.0,7.0,4.0,2.0,,2.0,5.0,4.0,3.0,,5.0,7.0,14.0,24.0,2.0,,2.0,,3.0,6.0,1.0,27.0,,,5.0,4.0,6.0,4.0,,,,1.0,5.0,2.0,3.0,,2.0,,4.0,10.0,1.0,,1.0,6.0,7.0,,3.0,4.0,1.0,4.0,,2.0,,5.0,1.0,,6.0,5.0,,4.0,,2.0,2.0,3.0,,,2.0,,2.0,,1.0,,,1.0,,3.0,1.0,,,,1.0,,,,1.0,,,2.0,2.0,1.0,,1.0,,1.0,4.0,2.0,,,,,,1.0,,1.0,,,,3.0,,,,,1.0,,,1.0,,,,,1.0,,,2.0,,1.0,,,,,,
2,BB/파운데이션/컴팩트류,메이크업,화장품/뷰티케어,2184,44162,55205,238,4340172,3529389070,69417,62.52,50843.3,52915.0,2827.0,349.0,12038.0,24446.0,15892.0,2627.0,347.0,37.0,6.0,9823724,5404567.0,98547663.0,141.52,77.86,1419.65,57588.0,11592.0,237.0,11386.0,13304.0,12012.0,11251.0,11471.0,9993.0,1447.0,6960.0,11329.0,29376.0,2035.0,1728.0,1142.0,1164.0,1524.0,2691.0,2509.0,1518.0,2860.0,1034.0,1267.0,833.0,1447.0,6960.0,767.0,29376.0,371.0,21.0,562.0,285.0,364.0,2691.0,2509.0,224.0,998.0,1205.0,204.0,297.0,590.0,934.0,16.0,560.0,1518.0,1011.0,115.0,481.0,542.0,95.0,833.0,115.0,95.0,806.0,55.0,596.0,215.0,256.0,78.0,143.0,102.0,188.0,174.0,150.0,17.0,163.0,321.0,351.0,425.0,245.0,46.0,293.0,58.0,287.0,530.0,34.0,1208.0,58.0,49.0,201.0,36.0,467.0,227.0,81.0,11.0,202.0,8.0,186.0,182.0,370.0,39.0,523.0,46.0,104.0,355.0,50.0,9.0,115.0,552.0,198.0,75.0,78.0,86.0,78.0,66.0,7.0,285.0,11.0,201.0,21.0,60.0,150.0,14.0,47.0,108.0,8.0,60.0,24.0,211.0,17.0,12.0,135.0,10.0,18.0,23.0,71.0,27.0,82.0,15.0,6.0,28.0,4.0,9.0,13.0,51.0,11.0,14.0,32.0,29.0,107.0,16.0,13.0,74.0,68.0,9.0,37.0,24.0,7.0,15.0,20.0,32.0,11.0,65.0,8.0,22.0,42.0,39.0,8.0,9.0,25.0,42.0,12.0,15.0,20.0,32.0,50.0,39.0,44.0,12.0,20.0,47.0,14.0,11.0,11.0,21.0,25.0,12.0,6.0,23.0,23.0,15.0,19.0,24.0,18.0,1.0,17.0,
3,DIY가구,시공/DIY가구,가구,18,41,80,2,87140,309861485,1540,56.58,201208.76,889.0,434.0,,,648.0,444.0,231.0,,,,52440,104268.0,3358027.0,34.05,67.71,2180.54,1329.0,211.0,,61.0,406.0,550.0,214.0,166.0,143.0,80.0,641.0,192.0,514.0,,,,,,44.0,,,53.0,,16.0,,80.0,641.0,24.0,514.0,,,,,,44.0,,,10.0,1.0,,,,,,,,1.0,51.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,68.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DIY완구,여아완구,완구,2,1,1,1,46,33000,2,23.0,16500.0,,,,,,,,,,,2,44.0,1566.0,1.0,22.0,783.0,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DSLR,카메라/캠코더,영상/음향가전,54,292,492,5,37703,491808098,630,59.85,780647.77,101.0,53.0,2.0,22.0,74.0,48.0,8.0,,,,45562,56887.0,1197609.0,72.32,90.3,1900.97,381.0,244.0,5.0,108.0,119.0,115.0,140.0,85.0,63.0,6.0,18.0,113.0,429.0,2.0,5.0,5.0,1.0,7.0,12.0,8.0,2.0,6.0,4.0,5.0,7.0,6.0,18.0,3.0,429.0,1.0,,2.0,,,12.0,8.0,,5.0,7.0,1.0,3.0,4.0,3.0,,5.0,2.0,,,2.0,,,7.0,45.0,,3.0,,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,4.0,1.0,,,,,,1.0,,11.0,,2.0,1.0,,2.0,,,,,,2.0,,,,12.0,,2.0,,,,,2.0,,,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,5.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
6,LCD,TV,영상/음향가전,3,22,22,3,1541,13929840,23,67.0,605645.22,7.0,13.0,,4.0,8.0,7.0,1.0,,,,1802,2154.0,45577.0,78.35,93.65,1981.61,20.0,3.0,,1.0,1.0,9.0,,9.0,3.0,,3.0,2.0,13.0,,,,,,,2.0,,2.0,,1.0,,,3.0,,13.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LED,TV,영상/음향가전,116,1004,1194,11,80026,779217232,1415,56.56,550683.56,733.0,234.0,,72.0,365.0,414.0,105.0,11.0,,,171780,110802.0,2479711.0,121.4,78.31,1752.45,1031.0,379.0,5.0,275.0,261.0,344.0,288.0,152.0,95.0,32.0,154.0,308.0,480.0,42.0,28.0,19.0,14.0,62.0,44.0,60.0,54.0,56.0,8.0,33.0,21.0,32.0,154.0,13.0,480.0,8.0,,4.0,2.0,34.0,44.0,60.0,7.0,29.0,23.0,6.0,16.0,27.0,10.0,,13.0,54.0,19.0,1.0,4.0,35.0,8.0,21.0,4.0,6.0,12.0,4.0,10.0,3.0,10.0,,7.0,2.0,3.0,,5.0,,4.0,9.0,8.0,4.0,4.0,1.0,6.0,4.0,4.0,7.0,1.0,24.0,2.0,,3.0,,11.0,7.0,2.0,,1.0,,3.0,4.0,1.0,,12.0,1.0,1.0,18.0,1.0,,1.0,4.0,,,2.0,,2.0,11.0,1.0,12.0,5.0,5.0,,,4.0,,1.0,1.0,,5.0,,17.0,,1.0,2.0,,,,2.0,,1.0,3.0,1.0,,,,,,,,,1.0,3.0,,,,6.0,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,
8,OLED,TV,영상/음향가전,10,10,13,1,1463,55086770,16,91.44,3442923.12,7.0,4.0,,4.0,1.0,3.0,3.0,,,,863,2065.0,42683.0,53.94,129.06,2667.69,11.0,5.0,,1.0,1.0,4.0,6.0,1.0,3.0,,,8.0,3.0,,,2.0,,,2.0,,,,,1.0,,,,,3.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PC부품,컴퓨터주변기기,컴퓨터,827,2495,2825,86,261572,129275000,4563,57.32,28331.14,2296.0,965.0,3.0,163.0,1290.0,1464.0,248.0,88.0,5.0,,1025607,325550.0,6943507.0,224.77,71.35,1521.7,3421.0,1112.0,30.0,632.0,658.0,716.0,804.0,1180.0,573.0,82.0,511.0,860.0,1818.0,139.0,104.0,41.0,54.0,161.0,159.0,167.0,127.0,173.0,36.0,70.0,61.0,82.0,511.0,46.0,1818.0,26.0,2.0,21.0,9.0,28.0,159.0,167.0,14.0,71.0,103.0,15.0,27.0,54.0,48.0,1.0,60.0,127.0,57.0,5.0,8.0,32.0,6.0,61.0,15.0,10.0,76.0,7.0,50.0,13.0,14.0,8.0,8.0,27.0,5.0,28.0,11.0,1.0,28.0,18.0,24.0,26.0,6.0,3.0,19.0,7.0,9.0,36.0,1.0,85.0,2.0,12.0,13.0,2.0,26.0,12.0,3.0,,8.0,,8.0,4.0,24.0,2.0,13.0,6.0,5.0,44.0,2.0,,8.0,28.0,16.0,3.0,8.0,,5.0,6.0,,25.0,4.0,25.0,2.0,1.0,10.0,1.0,5.0,5.0,1.0,,,10.0,,1.0,19.0,,,1.0,,,2.0,3.0,2.0,,,6.0,,1.0,,,5.0,,6.0,,3.0,6.0,9.0,,1.0,2.0,,,,3.0,1.0,2.0,1.0,,,1.0,,4.0,1.0,,1.0,,2.0,8.0,3.0,3.0,4.0,,1.0,4.0,,1.0,1.0,3.0,1.0,,,,,,6.0,,,1.0,2.0,
