ZON_NM,DATE,WEATHER,T_MAX,T_MIN
Gangwon-do,20180301,비,-2.0,4.0
Gangwon-do,20180302,구름조금,-6.0,5.0
Gangwon-do,20180303,구름조금,-1.0,17.0
Gangwon-do,20180304,비,7.0,16.0
Gangwon-do,20180305,비/진눈개비,0.0,9.0
Gangwon-do,20180306,구름조금,-2.0,11.0
Gangwon-do,20180307,비,1.0,10.0
Gangwon-do,20180308,눈/비,1.0,8.0
Gangwon-do,20180309,구름조금,1.0,9.0
Gangwon-do,20180310,구름조금,0.0,10.0
Gangwon-do,20180311,구름조금,3.0,13.0
Gangwon-do,20180312,구름조금,0.0,16.0
Gangwon-do,20180313,구름조금,3.0,20.0
Gangwon-do,20180314,구름조금,9.0,22.0
Gangwon-do,20180315,비,6.0,15.0
Gangwon-do,20180316,비,1.0,9.0
Gangwon-do,20180317,구름조금,-2.0,13.0
Gangwon-do,20180318,비,4.0,13.0
Gangwon-do,20180319,비,6.0,10.0
Gangwon-do,20180320,구름조금,2.0,9.0
Gangwon-do,20180321,눈/진눈개비,2.0,5.0
Gangwon-do,20180322,구름조금,1.0,13.0
Gangwon-do,20180323,구름조금,0.0,13.0
Gangwon-do,20180324,구름조금,3.0,14.0
Gangwon-do,20180325,구름조금,5.0,18.0
Gangwon-do,20180326,구름조금,4.0,19.0
Gangwon-do,20180327,구름조금,5.0,21.0
Gangwon-do,20180328,구름조금,8.0,21.0
Gangwon-do,20180329,구름조금,11.0,21.0
Gangwon-do,20180330,구름조금,12.0,21.0
Gangwon-do,20180331,구름조금,9.0,22.0
Gangwon-do,20180401,구름조금,10.0,20.0
Gangwon-do,20180402,구름조금,12.0,24.0
Gangwon-do,20180403,구름조금,14.0,25.0
Gangwon-do,20180404,비,9.0,18.0
Gangwon-do,20180405,비,7.0,9.0
Gangwon-do,20180406,눈/비/진눈개비,3.0,12.0
Gangwon-do,20180407,눈/비/진눈개비,2.0,9.0
Gangwon-do,20180408,비/진눈개비,1.0,9.0
Gangwon-do,20180409,비/진눈개비,2.0,14.0
Gangwon-do,20180410,비,3.0,24.0
Gangwon-do,20180411,비,10.0,19.0
Gangwon-do,20180412,구름조금,5.0,21.0
Gangwon-do,20180413,구름조금,6.0,20.0
Gangwon-do,20180414,비,7.0,13.0
Gangwon-do,20180415,구름조금,7.0,15.0
Gangwon-do,20180416,구름조금,4.0,19.0
Gangwon-do,20180417,구름조금,6.0,20.0
Gangwon-do,20180418,구름조금,6.0,21.0
Gangwon-do,20180419,구름조금,6.0,23.0
Gangwon-do,20180420,구름조금,10.0,28.0
Gangwon-do,20180421,구름조금,12.0,29.0
Gangwon-do,20180422,비,12.0,24.0
Gangwon-do,20180423,비,9.0,15.0
Gangwon-do,20180424,비,8.0,15.0
Gangwon-do,20180425,구름조금,3.0,23.0
Gangwon-do,20180426,구름조금,8.0,22.0
Gangwon-do,20180427,구름조금,9.0,23.0
Gangwon-do,20180428,구름조금,10.0,24.0
Gangwon-do,20180429,구름조금,8.0,24.0
Gangwon-do,20180430,구름조금,11.0,25.0
Gangwon-do,20180501,구름조금,14.0,26.0
Gangwon-do,20180502,비,11.0,20.0
Gangwon-do,20180503,비,7.0,16.0
Gangwon-do,20180504,구름조금,5.0,21.0
Gangwon-do,20180505,구름조금,8.0,24.0
Gangwon-do,20180506,비,14.0,18.0
Gangwon-do,20180507,구름조금,13.0,24.0
Gangwon-do,20180508,구름조금,11.0,21.0
Gangwon-do,20180509,구름조금,7.0,21.0
Gangwon-do,20180510,구름조금,9.0,23.0
Gangwon-do,20180511,구름조금,10.0,22.0
Gangwon-do,20180512,비,12.0,16.0
Gangwon-do,20180513,비,14.0,21.0
Gangwon-do,20180514,구름조금,12.0,25.0
Gangwon-do,20180515,구름조금,15.0,29.0
Gangwon-do,20180516,비,19.0,25.0
Gangwon-do,20180517,비,21.0,25.0
Gangwon-do,20180518,비,12.0,21.0
Gangwon-do,20180519,구름조금,10.0,23.0
Gangwon-do,20180520,구름조금,9.0,23.0
Gangwon-do,20180521,구름조금,9.0,23.0
Gangwon-do,20180522,비,13.0,24.0
Gangwon-do,20180523,비,15.0,24.0
Gangwon-do,20180524,구름조금,11.0,26.0
Gangwon-do,20180525,구름조금,13.0,26.0
Gangwon-do,20180526,구름조금,12.0,30.0
Gangwon-do,20180527,구름조금,16.0,26.0
Gangwon-do,20180528,구름조금,14.0,30.0
Gangwon-do,20180529,비,18.0,27.0
Gangwon-do,20180530,비,16.0,25.0
Gangwon-do,20180531,구름조금,15.0,27.0
Gangwon-do,20180601,구름조금,16.0,30.0
Gangwon-do,20180602,구름조금,17.0,30.0
Gangwon-do,20180603,구름조금,15.0,30.0
Gangwon-do,20180604,구름조금,16.0,28.0
Gangwon-do,20180605,비,18.0,29.0
Gangwon-do,20180606,구름조금,18.0,29.0
Gangwon-do,20180607,구름조금,18.0,29.0
Gangwon-do,20180608,구름조금,18.0,27.0
Gangwon-do,20180609,구름조금,18.0,28.0
Gangwon-do,20180610,구름조금,19.0,25.0
Gangwon-do,20180611,비,17.0,23.0
Gangwon-do,20180612,비,17.0,27.0
Gangwon-do,20180613,구름조금,17.0,28.0
Gangwon-do,20180614,구름조금,20.0,25.0
Gangwon-do,20180615,비,17.0,25.0
Gangwon-do,20180616,구름조금,14.0,28.0
Gangwon-do,20180617,구름조금,16.0,27.0
Gangwon-do,20180618,구름조금,19.0,31.0
Gangwon-do,20180619,구름조금,19.0,26.0
Gangwon-do,20180620,구름조금,18.0,29.0
Gangwon-do,20180621,구름조금,19.0,30.0
Gangwon-do,20180622,구름조금,17.0,33.0
Gangwon-do,20180623,구름조금,19.0,30.0
Gangwon-do,20180624,구름조금,21.0,32.0
Gangwon-do,20180625,구름조금,20.0,32.0
Gangwon-do,20180626,비,19.0,26.0
Gangwon-do,20180627,비,21.0,28.0
Gangwon-do,20180628,비,20.0,27.0
Gangwon-do,20180629,비,20.0,30.0
Gangwon-do,20180630,비,21.0,29.0
Gangwon-do,20180701,비,21.0,26.0
Gangwon-do,20180702,비,20.0,26.0
Gangwon-do,20180703,비,22.0,32.0
Gangwon-do,20180704,비,22.0,32.0
Gangwon-do,20180705,비,22.0,29.0
Gangwon-do,20180706,구름조금,21.0,26.0
Gangwon-do,20180707,구름조금,18.0,28.0
Gangwon-do,20180708,구름조금,15.0,27.0
Gangwon-do,20180709,비,20.0,22.0
Gangwon-do,20180710,비,20.0,28.0
Gangwon-do,20180711,비,23.0,30.0
Gangwon-do,20180712,구름조금,24.0,31.0
Gangwon-do,20180713,구름조금,25.0,31.0
Gangwon-do,20180714,구름조금,25.0,32.0
Gangwon-do,20180715,구름조금,24.0,33.0
Gangwon-do,20180716,구름조금,24.0,33.0
Gangwon-do,20180717,구름조금,23.0,32.0
Gangwon-do,20180718,구름조금,23.0,33.0
Gangwon-do,20180719,구름조금,23.0,33.0
Gangwon-do,20180720,구름조금,23.0,34.0
Gangwon-do,20180721,구름조금,24.0,35.0
Gangwon-do,20180722,구름조금,24.0,36.0
Gangwon-do,20180723,구름조금,27.0,34.0
Gangwon-do,20180724,구름조금,26.0,37.0
Gangwon-do,20180725,구름조금,28.0,34.0
Gangwon-do,20180726,구름조금,26.0,34.0
Gangwon-do,20180727,구름조금,26.0,36.0
Gangwon-do,20180728,비,27.0,36.0
Gangwon-do,20180729,구름조금,24.0,34.0
Gangwon-do,20180730,구름조금,25.0,36.0
Gangwon-do,20180731,구름조금,24.0,36.0
Gangwon-do,20180801,구름조금,25.0,39.0
Gangwon-do,20180802,구름조금,27.0,38.0
Gangwon-do,20180803,구름조금,27.0,38.0
Gangwon-do,20180804,구름많음,28.0,36.0
Gangwon-do,20180805,구름많음,26.0,34.0
Gangwon-do,20180806,구름많음/비,26.0,33.0
Gangwon-do,20180807,구름많음,25.0,34.0
Gangwon-do,20180808,구름많음/비,27.0,35.0
Gangwon-do,20180809,구름많음/비,26.0,33.0
Gangwon-do,20180810,구름많음/비,25.0,35.0
Gangwon-do,20180811,구름조금/비,23.0,33.0
Gangwon-do,20180812,구름많음/비,24.0,34.0
Gangwon-do,20180813,구름많음/비,25.0,35.0
Gangwon-do,20180814,구름많음,26.0,36.0
Gangwon-do,20180815,구름조금/비,25.0,39.0
Gangwon-do,20180816,구름조금,22.0,33.0
Gangwon-do,20180817,맑음,20.0,31.0
Gangwon-do,20180818,구름조금,19.0,31.0
Gangwon-do,20180819,구름많음,20.0,32.0
Gangwon-do,20180820,구름많음,22.0,33.0
Gangwon-do,20180821,흐림/비,23.0,28.0
Gangwon-do,20180822,구름많음,22.0,37.0
Gangwon-do,20180823,흐림/비,28.0,32.0
Gangwon-do,20180824,흐림/비,23.0,30.0
Gangwon-do,20180825,흐림/비,23.0,27.0
Gangwon-do,20180826,흐림/비,19.0,23.0
Gangwon-do,20180827,흐림/비,19.0,24.0
Gangwon-do,20180828,흐림/비,22.0,24.0
Gangwon-do,20180829,흐림/비,22.0,29.0
Gangwon-do,20180830,구름많음/비,23.0,29.0
Gangwon-do,20180831,구름많음/비,21.0,28.0
Gangwon-do,20180901,구름조금,20.0,30.0
Gangwon-do,20180902,구름조금,17.0,29.0
Gangwon-do,20180903,흐림/비,21.0,27.0
Gangwon-do,20180904,구름많음/비,21.0,28.0
Gangwon-do,20180905,구름조금,18.0,28.0
Gangwon-do,20180906,구름많음/비,18.0,26.0
Gangwon-do,20180907,구름많음/비,18.0,26.0
Gangwon-do,20180908,맑음,14.0,26.0
Gangwon-do,20180909,맑음,15.0,27.0
Gangwon-do,20180910,구름조금,16.0,26.0
Gangwon-do,20180911,구름많음,13.0,26.0
Gangwon-do,20180912,구름많음,14.0,27.0
Gangwon-do,20180913,흐림,18.0,26.0
Gangwon-do,20180914,흐림/비,17.0,26.0
Gangwon-do,20180915,흐림/비,20.0,21.0
Gangwon-do,20180916,흐림/비,20.0,26.0
Gangwon-do,20180917,구름많음/비,18.0,26.0
Gangwon-do,20180918,구름많음,16.0,26.0
Gangwon-do,20180919,흐림/비,17.0,25.0
Gangwon-do,20180920,흐림/비,17.0,20.0
Gangwon-do,20180921,흐림/비,17.0,20.0
Gangwon-do,20180922,구름조금/비,15.0,25.0
Gangwon-do,20180923,구름많음,13.0,22.0
Gangwon-do,20180924,구름조금,11.0,22.0
Gangwon-do,20180925,구름조금,9.0,24.0
Gangwon-do,20180926,구름많음,13.0,22.0
Gangwon-do,20180927,구름조금,10.0,23.0
Gangwon-do,20180928,구름많음,10.0,20.0
Gangwon-do,20180929,구름조금,11.0,26.0
Gangwon-do,20180930,맑음,13.0,24.0
Gangwon-do,20181001,구름많음,11.0,19.0
Gangwon-do,20181002,구름조금,9.0,20.0
Gangwon-do,20181003,구름조금,8.0,22.0
Gangwon-do,20181004,구름많음,10.0,25.0
Gangwon-do,20181005,흐림/비,15.0,18.0
Gangwon-do,20181006,흐림/비,15.0,21.0
Gangwon-do,20181007,구름조금,11.0,22.0
Gangwon-do,20181008,구름조금,8.0,19.0
Gangwon-do,20181009,흐림,8.0,20.0
Gangwon-do,20181010,구름많음/비,8.0,17.0
Gangwon-do,20181011,맑음,3.0,15.0
Gangwon-do,20181012,맑음,3.0,16.0
Gangwon-do,20181013,구름조금,4.0,19.0
Gangwon-do,20181014,구름조금,6.0,18.0
Gangwon-do,20181015,구름조금,7.0,19.0
Gangwon-do,20181016,구름많음,8.0,18.0
Gangwon-do,20181017,구름조금,7.0,18.0
Gangwon-do,20181018,구름많음/비,5.0,14.0
Gangwon-do,20181019,구름조금,6.0,18.0
Gangwon-do,20181020,맑음,5.0,19.0
Gangwon-do,20181021,맑음,4.0,19.0
Gangwon-do,20181022,구름많음,6.0,19.0
Gangwon-do,20181023,구름많음/비,6.0,13.0
Gangwon-do,20181024,구름조금,7.0,16.0
Gangwon-do,20181025,구름많음,5.0,20.0
Gangwon-do,20181026,흐림/비,9.0,13.0
Gangwon-do,20181027,구름조금/비,4.0,13.0
Gangwon-do,20181028,구름조금/비,2.0,12.0
Gangwon-do,20181029,구름조금,3.0,12.0
Gangwon-do,20181030,구름조금,0.0,11.0
Gangwon-do,20181031,맑음,3.0,12.0
Gyeonggi-do,20180301,구름많음/비/안개,-4.0,4.0
Gyeonggi-do,20180302,구름조금,-6.0,6.0
Gyeonggi-do,20180303,구름조금/비,-1.0,17.0
Gyeonggi-do,20180304,흐림/비/안개/이슬비,8.0,14.0
Gyeonggi-do,20180305,구름많음/비,2.0,11.0
Gyeonggi-do,20180306,구름조금,-2.0,12.0
Gyeonggi-do,20180307,흐림/비,0.0,12.0
Gyeonggi-do,20180308,구름많음/비/안개,1.0,9.0
Gyeonggi-do,20180309,구름많음/안개,1.0,10.0
Gyeonggi-do,20180310,구름조금/안개,-2.0,11.0
Gyeonggi-do,20180311,구름조금/안개,1.0,13.0
Gyeonggi-do,20180312,맑음/안개,0.0,17.0
Gyeonggi-do,20180313,구름많음/안개,2.0,19.0
Gyeonggi-do,20180314,구름많음/안개,13.0,23.0
Gyeonggi-do,20180315,흐림/비/안개/이슬비,8.0,16.0
Gyeonggi-do,20180316,구름조금,5.0,12.0
Gyeonggi-do,20180317,구름조금/안개,1.0,15.0
Gyeonggi-do,20180318,흐림/비/안개,4.0,13.0
Gyeonggi-do,20180319,흐림/비,7.0,11.0
Gyeonggi-do,20180320,구름많음,3.0,9.0
Gyeonggi-do,20180321,흐림/눈/안개/진눈개비,0.0,3.0
Gyeonggi-do,20180322,구름조금/안개,0.0,11.0
Gyeonggi-do,20180323,구름많음/안개,0.0,13.0
Gyeonggi-do,20180324,구름많음/안개,2.0,15.0
Gyeonggi-do,20180325,구름조금/안개,5.0,18.0
Gyeonggi-do,20180326,구름조금/안개,5.0,20.0
Gyeonggi-do,20180327,맑음/안개,5.0,21.0
Gyeonggi-do,20180328,구름조금/안개,8.0,21.0
Gyeonggi-do,20180329,구름조금/안개,10.0,22.0
Gyeonggi-do,20180330,맑음/안개,8.0,21.0
Gyeonggi-do,20180331,맑음/안개,7.0,21.0
Gyeonggi-do,20180401,흐림/안개,9.0,18.0
